Category,Thickness,Order
250 Grade Plate,3,1
250 Grade Plate,4,2
250 Grade Plate,5,3
250 Grade Plate,6,4
250 Grade Plate,8,5
250 Grade Plate,10,6
250 Grade Plate,12,7
250 Grade Plate,16,8
250 Grade Plate,20,9
250 Grade Plate,25,10
250 Grade Plate,28,11
250 Grade Plate,32,12
250 Grade Plate,36,13
250 Grade Plate,40,14
250 Grade Plate,50,15
250 Grade Plate,60,16
250 Grade Plate,70,17
250 Grade Plate,80,18
250 Grade Plate,100,19
250 Grade Plate,120,20
250 Grade Plate,140,21
250 Grade Plate,150,22
350 Grade Plate,6,1
350 Grade Plate,8,2
350 Grade Plate,10,3
350 Grade Plate,16,4
350 Grade Plate,20,5
350 Grade Plate,25,6
350 Grade Plate,32,7
350 Grade Plate,40,8
350 Grade Plate,50,9
350 Grade Plate,60,10
350 Grade Plate,70,11
350 Grade Plate,80,12
Floor Plate,2.1,1
Floor Plate,3,2
Floor Plate,5,3
Floor Plate,6,4
Floor Plate,8,5
