Member,Depth,TimesSymbol1,Width,TimesSymbol2,Thickness,Type,Mass,GrossArea,Ixxyy,PhiMsxsy350,PhiMsxsy450,Order
250x250x9.0SHS,250,x,250,x,9,SHS,65.9,8400,79.8,234,,1
250x250x6.0SHS,250,x,250,x,6,SHS,45,5730,56.2,129,,2
200x200x9.0SHS,200,x,200,x,9,SHS,51.8,6600,39.2,147,,3
200x200x6.0SHS,200,x,200,x,6,SHS,35.6,4530,28,92.5,,4
200x200x5.0SHS,200,x,200,x,5,SHS,29.9,3810,23.9,70.1,,5
150x150x9.0SHS,150,x,150,x,9,SHS,37.7,4800,15.4,78.2,,6
150x150x6.0SHS,150,x,150,x,6,SHS,26.2,3330,11.3,55.9,,7
150x150x5.0SHS,150,x,150,x,5,SHS,22.1,2810,9.7,45.5,,8
125x125x9.0SHS,125,x,125,x,9,SHS,30.6,3900,8.38,52,,9
125x125x6.0SHS,125,x,125,x,6,SHS,21.4,2730,6.29,37.8,,10
125x125x5.0SHS,125,x,125,x,5,SHS,18.2,2310,5.44,32.4,,11
125x125x4.0SHS,125,x,125,x,4,SHS,14.8,1880,4.52,24.8,,12
100x100x9.0SHS,100,x,100,x,9,SHS,23.5,3000,3.91,31,,13
100x100x6.0SHS,100,x,100,x,6,SHS,16.7,2130,3.04,23.2,29.8,14
100x100x5.0SHS,100,x,100,x,5,SHS,14.2,1810,2.66,20,25.7,15
100x100x4.0SHS,100,x,100,x,4,SHS,11.6,1480,2.23,16.6,21,16
100x100x3.0SHS,100,x,100,x,3,SHS,8.96,1140,1.77,11.7,13.9,17
100x100x2.5SHS,100,x,100,x,2.5,SHS,7.53,959,1.51,,10.6,18
100x100x2.0SHS,100,x,100,x,2,SHS,6.07,774,1.23,,7.63,19
89x89x6.0SHS,89,x,89,x,6,SHS,14.6,1870,2.06,17.8,,20
89x89x5.0SHS,89,x,89,x,5,SHS,12.5,1590,1.81,15.5,,21
89x89x3.5SHS,89,x,89,x,3.5,SHS,9.06,1150,1.37,11.5,,22
75x75x6.0SHS,75,x,75,x,6,SHS,12,1530,1.16,12.1,15.6,23
75x75x5.0SHS,75,x,75,x,5,SHS,10.3,1310,1.03,10.6,13.6,24
75x75x4.0SHS,75,x,75,x,4,SHS,8.49,1080,0.882,8.9,11.4,25
75x75x3.5SHS,75,x,75,x,3.5,SHS,7.53,959,0.797,7.97,10.2,26
75x75x3.0SHS,75,x,75,x,3,SHS,6.6,841,0.716,7.08,8.99,27
75x75x2.5SHS,75,x,75,x,2.5,SHS,5.56,709,0.614,5.75,6.9,28
75x75x2.0SHS,75,x,75,x,2,SHS,4.5,574,0.505,,4.91,29
65x65x6.0SHS,65,x,65,x,6,SHS,10.1,1290,0.706,8.67,11.1,30
65x65x5.0SHS,65,x,65,x,5,SHS,8.75,1110,0.638,7.66,9.85,31
65x65x4.0SHS,65,x,65,x,4,SHS,7.23,921,0.552,6.49,8.34,32
65x65x3.0SHS,65,x,65,x,3,SHS,5.66,721,0.454,5.22,6.71,33
65x65x2.5SHS,65,x,65,x,2.5,SHS,4.78,609,0.391,4.45,5.54,34
65x65x2.0SHS,65,x,65,x,2,SHS,3.88,494,0.323,3.33,3.97,35
65x65x1.6SHS,65,x,65,x,1.6,SHS,3.13,399,0.265,,2.84,36
50x50x5.0SHS,50,x,50,x,5,SHS,6.39,814,0.257,4.14,5.33,37
50x50x4.0SHS,50,x,50,x,4,SHS,5.35,681,0.229,3.59,4.61,38
50x50x3.0SHS,50,x,50,x,3,SHS,4.25,541,0.195,2.96,3.8,39
50x50x2.5SHS,50,x,50,x,2.5,SHS,3.6,459,0.169,2.54,3.27,40
50x50x2.0SHS,50,x,50,x,2,SHS,2.93,374,0.141,2.1,2.66,41
50x50x1.6SHS,50,x,50,x,1.6,SHS,2.38,303,0.117,1.61,1.92,42
40x40x4.0SHS,40,x,40,x,4,SHS,4.09,521,0.105,2.12,2.73,43
40x40x3.0SHS,40,x,40,x,3,SHS,3.3,421,0.0932,1.8,2.32,44
40x40x2.5SHS,40,x,40,x,2.5,SHS,2.82,359,0.0822,1.56,2.01,45
40x40x2.0SHS,40,x,40,x,2,SHS,2.31,294,0.0694,1.3,1.67,46
40x40x1.6SHS,40,x,40,x,1.6,SHS,1.88,239,0.0579,1.07,1.36,47
35x35x3.0SHS,35,x,35,x,3,SHS,2.83,361,0.0595,1.33,1.71,48
35x35x2.5SHS,35,x,35,x,2.5,SHS,2.42,309,0.0529,1.16,1.5,49
35x35x2.0SHS,35,x,35,x,2,SHS,1.99,254,0.0451,0.975,1.25,50
35x35x1.6SHS,35,x,35,x,1.6,SHS,1.63,207,0.0379,0.808,1.04,51
30x30x3.0SHS,30,x,30,x,3,SHS,2.36,301,0.035,0.932,,52
30x30x2.5SHS,30,x,30,x,2.5,SHS,2.03,259,0.0316,0.822,1.06,53
30x30x2.0SHS,30,x,30,x,2,SHS,1.68,214,0.0272,0.695,0.893,54
30x30x1.6SHS,30,x,30,x,1.6,SHS,1.38,175,0.0231,0.58,0.746,55
25x25x3.0SHS,25,x,25,x,3,SHS,1.89,241,0.0184,0.603,,56
25x25x2.5SHS,25,x,25,x,2.5,SHS,1.64,209,0.0169,0.539,0.694,57
25x25x2.0SHS,25,x,25,x,2,SHS,1.36,174,0.0148,0.462,0.594,58
25x25x1.6SHS,25,x,25,x,1.6,SHS,1.12,143,0.0128,0.389,0.5,59
20x20x1.6SHS,20,x,20,x,1.6,SHS,0.873,111,0.00608,0.236,0.304,60
