Member,Mass,Depth,FlangeWidth,FlangeThickness,WebThickness,RootRadius,DepthBetweenFlanges,Ixx,GrossArea,Order
610UB125,125,612,229,19.6,11.9,14,572,986,16000,1
610UB113,113,607,228,17.3,11.2,14,572,875,14500,2
610UB101,101,602,228,14.8,10.6,14,572,761,13000,3
530UB92.4,92.4,533,209,15.6,10.2,14,502,554,11800,4
530UB82.0,82,528,209,13.2,9.6,14,502,477,10500,5
460UB82.1,82.1,460,191,16,9.9,11.4,428,372,10500,6
460UB74.6,74.6,457,190,14.5,9.1,11.4,428,335,9520,7
460UB67.1,67.1,454,190,12.7,8.5,11.4,428,296,8580,8
410UB59.7,59.7,406,178,12.8,7.8,11.4,381,216,7640,9
410UB53.7,53.7,403,178,10.9,7.6,11.4,381,188,6890,10
360UB56.7,56.7,359,172,13,8,11.4,333,161,7240,11
360UB50.7,50.7,356,171,11.5,7.3,11.4,333,142,6470,12
360UB44.7,44.7,352,171,9.7,6.9,11.4,333,121,5720,13
310UB46.2,46.2,307,166,11.8,6.7,11.4,284,100,5930,14
310UB40.4,40.4,304,165,10.2,6.1,11.4,284,86.4,5210,15
310UB32.0,32,298,149,8,5.5,13,282,63.2,4080,16
250UB37.3,37.3,256,146,10.9,6.4,8.9,234,55.7,4750,17
250UB31.4,31.4,252,146,8.6,6.1,8.9,234,44.5,4010,18
250UB25.7,25.7,248,124,8,5,12,232,35.4,3270,19
200UB29.8,29.8,207,134,9.6,6.3,8.9,188,29.1,3820,20
200UB25.4,25.4,203,133,7.8,5.8,8.9,188,23.6,3230,21
200UB22.3,22.3,202,133,7,5,8.9,188,21,2870,22
200UB18.2,18.2,198,99,7,4.5,11,184,15.8,2320,23
180UB22.2,22.2,179,90,10,6,8.9,159,15.3,2820,24
180UB18.1,18.1,175,90,8,5,8.9,159,12.1,2300,25
180UB16.1,16.1,173,90,7,4.5,8.9,159,10.6,2040,26
150UB18.0,18,155,75,9.5,6,8,136,9.05,2300,27
150UB14.0,14,150,75,7,5,8,136,6.66,1780,28

